"pb","pe","ps","year","pb_peer_avg","pe_peer_avg","ps_peer_avg","symbol"
4.475852894277,30.4530861602451,11.3386964329326,2020,1.26242482560343,27.296475059198,6.37891855078523,"BBCA.JK"
4.39493296430937,28.3524373811765,11.4028644028555,2021,1.46630589795505,15.0145590632269,6.3740557278722,"BBCA.JK"
4.72115003747694,25.6154045827394,11.7267911271968,2022,1.00852386298116,15.1292552726864,4.34357834686358,"BBCA.JK"
4.76861256497852,23.7607719884983,11.6323948352864,2023,0.784426698201696,13.1504697571829,3.46543176014492,"BBCA.JK"
2.24404134373024,27.296475059198,3.90812024342799,2020,1.26242482560343,27.296475059198,6.37891855078523,"BBRI.JK"
2.13579246128274,19.8501979232225,4.02599153256836,2021,1.46630589795505,15.0145590632269,6.3740557278722,"BBRI.JK"
2.47654136988394,14.4852351105461,4.40613876244184,2022,1.00852386298116,15.1292552726864,4.34357834686358,"BBRI.JK"
2.26648827375073,11.7421540303233,4.07543799349849,2023,0.784426698201696,13.1504697571829,3.46543176014492,"BBRI.JK"
1.54302128039226,17.3942521554938,3.05224667300517,2020,1.26242482560343,27.296475059198,6.37891855078523,"BMRI.JK"
1.58561909266445,11.5796062923157,2.91227616355148,2021,1.46630589795505,15.0145590632269,6.3740557278722,"BMRI.JK"
1.99641859827664,11.1374278712277,3.62397928851202,2022,1.00852386298116,15.1292552726864,4.34357834686358,"BMRI.JK"
2.40708366324794,11.8122221029735,4.31481461160726,2023,0.784426698201696,13.1504697571829,3.46543176014492,"BMRI.JK"
2.72614186504395,16.5002887002042,7.27158303496521,2020,1.26242482560343,27.296475059198,6.37891855078523,"MEGA.JK"
3.05195277339705,14.5776588172156,7.31732975323361,2021,1.46630589795505,15.0145590632269,6.3740557278722,"MEGA.JK"
2.97154942792561,15.1292552726864,7.32988098656559,2022,1.00852386298116,15.1292552726864,4.34357834686358,"MEGA.JK"
2.75234996324258,17.0561723948352,7.67145034193411,2023,0.784426698201696,13.1504697571829,3.46543176014492,"MEGA.JK"
1.01448065585728,10.082970348534,1.55749711949882,2020,1.26242482560343,27.296475059198,6.37891855078523,"BRIS.JK"
2.89750504658723,23.9343109201656,4.62231170049196,2021,1.46630589795505,15.0145590632269,6.3740557278722,"BRIS.JK"
1.76018284699189,13.8435400177739,3.22662817355863,2022,1.00852386298116,15.1292552726864,4.34357834686358,"BRIS.JK"
3.1515945532791,22.2961053144897,6.05975040602282,2023,0.784426698201696,13.1504697571829,3.46543176014492,"BRIS.JK"
0.624454959639733,8.86295184305814,2.02598662024383,2020,1.26242482560343,27.296475059198,6.37891855078523,"NISP.JK"
0.470808438409146,6.04070370626146,1.56617296888358,2021,1.46630589795505,15.0145590632269,6.3740557278722,"NISP.JK"
0.494668726290729,5.08669137222239,1.597330250743,2022,1.00852386298116,15.1292552726864,4.34357834686358,"NISP.JK"
0.784426698201696,7.36414916482415,2.47691032293201,2023,0.784426698201696,13.1504697571829,3.46543176014492,"NISP.JK"
0.60323196952046,12.3017231655122,1.51333937503534,2020,1.26242482560343,27.296475059198,6.37891855078523,"BNGA.JK"
0.553494535667903,5.85536809142656,1.44301436559297,2021,1.46630589795505,15.0145590632269,6.3740557278722,"BNGA.JK"
0.652395817037083,5.84773515549366,1.74309541654529,2022,1.00852386298116,15.1292552726864,4.34357834686358,"BNGA.JK"
0.944323988878065,7.31719511790163,2.40926656730729,2023,0.784426698201696,13.1504697571829,3.46543176014492,"BNGA.JK"
1.03458928065172,34.7530471103703,2.09814065618114,2020,1.26242482560343,27.296475059198,6.37891855078523,"BBNI.JK"
1.00712493615158,11.4345822064982,2.18333010470752,2021,1.46630589795505,15.0145590632269,6.3740557278722,"BBNI.JK"
1.25400805054113,9.30064972503904,2.78003116447679,2022,1.00852386298116,15.1292552726864,4.34357834686358,"BBNI.JK"
1.15862997454018,8.31901731676643,2.8279356398613,2023,0.784426698201696,13.1504697571829,3.46543176014492,"BBNI.JK"
